abstract,url,snipper,lead_par,pub_date,type_of_material
Large businesses are revising their rules about employee vaccinations and wearing masks as the Delta variant drives up infections.,https://www.nytimes.com/2021/07/29/business/companies-covid-cases-masks-vaccines.html,Large businesses are revising their rules about employee vaccinations and wearing masks as the Delta variant drives up infections.,"For many companies, September was supposed to mark a triumphant return to dormant offices, a time to crank up productivity and reboot in-person corporate cultures that have withered during 18 months of Zoom calls.",2021-07-29T07:55:03+0000,News
"Cases, hospitalizations and deaths remain far below last winter’s peak, but the director urged people to get fully vaccinated.",https://www.nytimes.com/2021/07/16/health/covid-delta-cdc-walensky.html,"Cases, hospitalizations and deaths remain far below last winter’s peak, but the director urged people to get fully vaccinated.","As the highly contagious Delta variant of the coronavirus fuels outbreaks in the United States, the director of the Centers for Disease Control and Prevention warned on Friday that “this is becoming a pandemic of the unvaccinated.”",2021-07-16T21:41:09+0000,News
"Hospitals are stretched thin in a few hot spots, but the vaccines are working and the national outlook remains far better than during previous surges.",https://www.nytimes.com/2021/07/15/us/covid-cases-rise.html,"Hospitals are stretched thin in a few hot spots, but the vaccines are working and the national outlook remains far better than during previous surges.","KANSAS CITY, Mo. — The number of new coronavirus cases is increasing in every state, setting off a growing sense of concern from health officials who are warning that the pandemic in the United States is far from over, even though the national outlook is far better than during previous upticks.",2021-07-15T22:28:04+0000,News
The politicalization of the coronavirus outbreak is undeniable. But what people valued and the risks they were willing to take have been similar. ,https://www.nytimes.com/2021/07/16/opinion/covid-risk-birthdays-study.html,The politicalization of the coronavirus outbreak is undeniable. But what people valued and the risks they were willing to take have been similar. ,"A defining feature of the American experience of the pandemic has been the high degree of political polarization. There’s also a narrative, supported by studies of varying methodology and rigor, that Republicans and Democrats disagree about the risks of Covid-19 and the need for mask mandates, lockdowns and vaccinations.",2021-07-16T19:00:04+0000,Op-Ed
"The agency’s advice on distancing, masks and vaccination brings the coming school year a bit more into focus.",https://www.nytimes.com/2021/07/09/health/cdc-schools-guidelines-parents.html,"The agency’s advice on distancing, masks and vaccination brings the coming school year a bit more into focus.","With less than a month to go before many schools begin reopening for the fall, the Centers for Disease Control and Prevention on Friday released new guidelines for preventing Covid-19 transmission in schools.",2021-07-09T23:28:13+0000,News
"Data from overseas, particularly Britain, suggest the spread of the virus will set vaccinated and unvaccinated communities on very different paths.",https://www.nytimes.com/2021/07/14/health/delta-variant-uk-usa.html,"Data from overseas, particularly Britain, suggest the spread of the virus will set vaccinated and unvaccinated communities on very different paths.","Even as many Americans celebrate the apparent waning of the pandemic, the thrum of concern over the so-called Delta variant grows steadily louder.",2021-07-14T17:51:47+0000,News
Haiti is searching for answers almost a week after the assassination of its president.,https://www.nytimes.com/2021/07/12/briefing/your-monday-briefing.html,Haiti is searching for answers almost a week after the assassination of its president.,"Haiti is feverishly searching for answers after the assassination of President Jovenel Moïse last week, while the public remains skeptical of official narratives. Here are live updates.",2021-07-12T20:53:32+0000,briefing
"The unions also acknowledged that challenges lay ahead, especially given that vaccines have not been authorized for students under 12.",https://www.nytimes.com/2021/07/09/education/unions-school-reopening-guidelines.html,"The unions also acknowledged that challenges lay ahead, especially given that vaccines have not been authorized for students under 12.","The two largest U.S. unions representing educators expressed approval on Friday of new federal guidelines calling for schools to fully reopen, while acknowledging that more challenges lay ahead with children under 12 not eligible for vaccination.",2021-07-09T19:15:24+0000,News
What we know about a coronavirus variant that is quickly becoming the most dominant and dangerous.,https://www.nytimes.com/2021/07/06/podcasts/the-daily/delta-variant-coronavirus-vaccine.html,What we know about a coronavirus variant that is quickly becoming the most dominant and dangerous.,The Delta variant of the coronavirus is threatening to put the world in an entirely new stage of the pandemic.,2021-07-06T10:00:09+0000,News
Many young adults are forgoing Covid vaccines for a complex mix of reasons. Health officials are racing to find ways to change their minds.,https://www.nytimes.com/2021/06/28/us/covid-vaccine-immunity.html,Many young adults are forgoing Covid vaccines for a complex mix of reasons. Health officials are racing to find ways to change their minds.,"KANSAS CITY, Mo. — Bridget Burke, 22, a college student in Michigan, said she was unsettled by rumors that Covid-19 vaccines could affect her reproductive health. Bryson Hardy, 19, a fiber optic cable splicer from Georgia, said he was not worried about contracting the virus and had no plans to get vaccinated. And Cinda Heard, 27, an in-home health care assistant in Missouri, said she feared potential side effects from the vaccine and got a shot only because her employer required it.",2021-06-28T09:00:13+0000,News
The spread of the supercontagious Delta variant is spurring new warnings from public health officials. Here are answers to some common questions.,https://www.nytimes.com/interactive/2021/07/14/health/delta-variant-questions.html,The spread of the supercontagious Delta variant is spurring new warnings from public health officials. Here are answers to some common questions.,The spread of the supercontagious Delta variant is spurring new warnings from public health officials. Here are answers to some common questions.,2021-07-14T20:13:38+0000,Interactive Feature
The recommendations are a departure from the C.D.C.’s past guidelines for schools and arrive less than a month before the first day of school for some districts.,https://www.nytimes.com/2021/07/09/education/cdc-masks-guidelines-schools.html,The recommendations are a departure from the C.D.C.’s past guidelines for schools and arrive less than a month before the first day of school for some districts.,"The Centers for Disease Control and Prevention released new guidance for schools on Friday, urging them to fully reopen and calling on local districts to tailor their public health measures to local coronavirus data.",2021-07-09T15:05:27+0000,News
"More than 1,200 cases have been reported, mostly mild and more often in young men and boys. The benefits of vaccination still far outweigh the risks, experts said.",https://www.nytimes.com/2021/06/23/health/coronavirus-vaccine-heart.html,"More than 1,200 cases have been reported, mostly mild and more often in young men and boys. The benefits of vaccination still far outweigh the risks, experts said.","The coronavirus vaccines made by Pfizer-BioNTech and Moderna may have caused heart problems in more than 1,200 Americans, including about 500 who were younger than age 30, according to data reported on Wednesday by researchers at the Centers for Disease Control and Prevention.",2021-06-23T21:39:35+0000,News
"The variant is spreading rapidly worldwide and fueling new outbreaks in the U.S., mainly among the unvaccinated.",https://www.nytimes.com/2021/06/22/health/delta-variant-covid.html,"The variant is spreading rapidly worldwide and fueling new outbreaks in the U.S., mainly among the unvaccinated.",The spread of the super-contagious Delta variant has prompted new restrictions around the world and spurred stark new warnings from public health officials.,2021-06-22T21:28:57+0000,News
Americans are suddenly feeling good. Why?,https://www.nytimes.com/2021/07/09/opinion/us-covid-mrna-vaccines.html,Americans are suddenly feeling good. Why?,"Happy days are here again. No, really. Gallup has been asking Americans since the beginning of 2008 whether they are “thriving.” The percentage answering yes hit a low point in the depths of the 2008 financial crisis and again during the worst of the Covid-19 pandemic. But it has soared in recent months, to 59.2 percent, its highest level ever:",2021-07-09T18:45:04+0000,Op-Ed
"In the Rio Grande Valley, it is people’s exposure to death and disease, not offers of free beer or million-dollar prizes, that is driving vaccine rates higher.",https://www.nytimes.com/2021/06/21/us/coronavirus-vaccines-texas-border.html,"In the Rio Grande Valley, it is people’s exposure to death and disease, not offers of free beer or million-dollar prizes, that is driving vaccine rates higher.","BROWNSVILLE, Texas — Gabby Garcia did not expect to feel like crying when she sat down for her first dose of the coronavirus vaccine. But as the long needle pierced her skin, she thought back to the agonizing outbreak in her family that killed her sister, hospitalized her brother and also left her ill for days.",2021-06-21T23:06:37+0000,News
The number of vaccine doses administered to children dropped by as much 63 percent as stay-at-home orders were issued in spring of 2020.,https://www.nytimes.com/2021/06/10/health/children-vaccine-measles-cdc-covid-coronavirus.html,The number of vaccine doses administered to children dropped by as much 63 percent as stay-at-home orders were issued in spring of 2020.,"Pediatricians are urging U.S. parents to get their children caught up on routine vaccinations, following a decline in the number of inoculations for diseases like measles as the pandemic forced restrictions, including shelter-at-home orders, last year.",2021-06-10T20:55:32+0000,News
"Injections of the Johnson & Johnson coronavirus vaccine came to a sudden halt this week in the United States after a small number of rare blood clots emerged, though it is unclear if the shot was responsible.",https://www.nytimes.com/2021/04/15/us/fauci-walensky-covid-vaccine.html,"Injections of the Johnson & Johnson coronavirus vaccine came to a sudden halt this week in the United States after a small number of rare blood clots emerged, though it is unclear if the shot was responsible.","Three top federal health officials appeared on Capitol Hill on Thursday and implored Americans to get vaccinated against the coronavirus, but said little about the investigation into whether the Johnson & Johnson vaccine may be linked to a small number of cases of rare blood clots, or when that vaccine might be put back into use.",2021-04-15T19:15:24+0000,News
"Deaths have dropped precipitously since their January peak, but the coronavirus continues to claim several thousand lives per week.",https://www.nytimes.com/interactive/2021/06/10/us/covid-death-patterns.html,"Deaths have dropped precipitously since their January peak, but the coronavirus continues to claim several thousand lives per week.","Deaths have dropped precipitously since their January peak, but the coronavirus continues to claim several thousand lives per week.",2021-06-10T09:00:01+0000,Interactive Feature
"Los Angeles County and the W.H.O. warned that even immunized people should wear masks indoors. Some scientists agreed, but urged a localized approach.",https://www.nytimes.com/2021/06/29/health/coronavirus-delta-variant-masks.html,"Los Angeles County and the W.H.O. warned that even immunized people should wear masks indoors. Some scientists agreed, but urged a localized approach.","Throughout the pandemic, masks have ranked among the most contentious public health measures in the United States, symbolizing a bitter partisan divide over the role of government and individual liberties.",2021-06-29T22:55:15+0000,News
"The average number of vaccine shots given each day, which rose for months and peaked at 3.38 million, has now fallen to 2.86 million, the lowest level since March 31.",https://www.nytimes.com/2021/04/25/world/coronavirus-cases-rising-vaccine-rates-dropping.html,"The average number of vaccine shots given each day, which rose for months and peaked at 3.38 million, has now fallen to 2.86 million, the lowest level since March 31.","Vaccination rates are falling in the United States, despite the spread of highly contagious virus variants that are fueling a national caseload that remains high enough to underscore concerns of the potential for a new surge.",2021-04-25T13:24:46+0000,News
The suspension impedes Europe’s already troubled vaccination campaign amid a third coronavirus wave. Europe’s top drug regulator said there was no sign that the shot had caused dangerous side effects.,https://www.nytimes.com/2021/03/16/world/europe/covid-astrazeneca-eu-vaccine.html,The suspension impedes Europe’s already troubled vaccination campaign amid a third coronavirus wave. Europe’s top drug regulator said there was no sign that the shot had caused dangerous side effects.,"LONDON — After the European Union’s biggest countries suspended the use of AstraZeneca’s vaccine, the continent’s top drug regulator pushed back hard on Tuesday against fears about the shot, saying there was no sign of its causing rare but dangerous problems, and strong evidence that its lifesaving benefits “outweigh the risk of the side effects.”",2021-03-16T13:33:45+0000,News
"At last, Covid vaccine shots are going into arms in significant numbers, but too many people could still fall through the cracks.",https://www.nytimes.com/2021/02/26/opinion/vaccine-covid-coronavirus.html,"At last, Covid vaccine shots are going into arms in significant numbers, but too many people could still fall through the cracks.","Vaccines have brought the United States tantalizingly close to crushing the coronavirus within its borders. After months of hiccups, some 1.4 million people are now being vaccinated every day, and many more shots are coming through the pipeline. The Food and Drug Administration has just authorized a third vaccine — a single-dose shot made by Johnson & Johnson — while Pfizer and Moderna are promising to greatly expand the supply of their shots, to roughly 100 million total doses per month, by early spring.",2021-02-27T00:00:06+0000,Editorial
"The F.D.A.’s authorization of Pfizer’s Covid shot for 12- to 15-year-olds is a milestone in battling the coronavirus, but actually getting them vaccinated involves new challenges.",https://www.nytimes.com/2021/05/11/health/covid-vaccination-younger-teens.html,"The F.D.A.’s authorization of Pfizer’s Covid shot for 12- to 15-year-olds is a milestone in battling the coronavirus, but actually getting them vaccinated involves new challenges.",The race is on to vaccinate the nation’s nearly 17 million 12- to 15-year-olds against Covid-19.,2021-05-11T09:00:32+0000,News
Forget boosters and more trials. America’s overly prudent vaccination strategy is killing people.,https://www.nytimes.com/2021/01/29/opinion/covid-vaccine-booster.html,Forget boosters and more trials. America’s overly prudent vaccination strategy is killing people.,"In the race to prevent ever more deaths from Covid-19, the United States faces two major problems: not having enough doses of vaccine on hand and struggling to deliver those that are available. According to data from the Centers for Disease Control and Prevention, as of Jan. 28 about 48.4 million doses had been distributed, but only 26.2 million administered.",2021-01-29T10:00:15+0000,Op-Ed
Here's a way for Biden to assert United States leadership to benefit the world and safeguard the American economy.,https://www.nytimes.com/2021/05/26/opinion/biden-covid-vaccine-world.html,Here's a way for Biden to assert United States leadership to benefit the world and safeguard the American economy.,Let’s begin with a quick quiz question: What’s the highest-return investment you can think of? Private equity? A hedge fund?,2021-05-26T23:00:08+0000,Op-Ed
"Frantic efforts to vaccinate people in an underserved area of Philadelphia underscore a difficult new stage of the nation’s vaccination campaign, as door-to-door efforts become the norm.",https://www.nytimes.com/2021/05/16/us/politics/coronavirus-vaccination.html,"Frantic efforts to vaccinate people in an underserved area of Philadelphia underscore a difficult new stage of the nation’s vaccination campaign, as door-to-door efforts become the norm.","PHILADELPHIA — Only a trickle of people had visited her community vaccination site seeking a first coronavirus shot last Monday when Dr. Ala Stanford, a local pediatric surgeon, seized on an unexpected opening.",2021-05-16T21:16:10+0000,News
"Billion-dollar pledges — and the news that the United States will distribute an initial 25 million doses  — will do little to curb the explosive outbreaks in poor countries, experts said",https://www.nytimes.com/2021/06/06/world/vaccine-coronavirus-global-stalls.html,"Billion-dollar pledges — and the news that the United States will distribute an initial 25 million doses  — will do little to curb the explosive outbreaks in poor countries, experts said","Many of the world’s poorest nations are living through their deadliest outbreaks of the pandemic, with few signs that a significant number of vaccine doses will be available to reverse that tide anytime soon.",2021-06-06T13:50:02+0000,News
The rollout to nursing homes is beginning. ,https://www.nytimes.com/2020/12/20/us/devastated-long-term-care-facilities-become-the-next-front-for-covid-19-inoculations.html,The rollout to nursing homes is beginning. ,"A large swath of nursing homes in the United States are poised to receive Covid-19 vaccines beginning Monday, as the country pushes to inoculate some of its most vulnerable citizens and free them from months of confinement.",2020-12-20T15:04:26+0000,News
"Federal health officials urged local vaccinators to take steps to ensure that everyone comes back, including scheduling a return appointment when giving the first shot, sending reminders, and rescheduling missed or canceled appointments.",https://www.nytimes.com/2021/03/15/health/second-vaccine-dose-time.html,"Federal health officials urged local vaccinators to take steps to ensure that everyone comes back, including scheduling a return appointment when giving the first shot, sending reminders, and rescheduling missed or canceled appointments.","Nearly nine in 10 Americans who received the first dose of a two-dose Covid-19 vaccine went on to complete the regimen, and most people who received two doses got them within the recommended time frames, federal health officials reported on Monday.",2021-03-15T20:39:46+0000,News
People with underlying conditions are begging officials to add their condition to the vaccine priority list.,https://www.nytimes.com/2021/03/09/us/coronavirus-briefing-what-happened-today.html,People with underlying conditions are begging officials to add their condition to the vaccine priority list.,"Months into the vaccine rollout, many Americans with underlying medical conditions are desperate to know: When can I get vaccinated?",2021-03-09T23:04:24+0000,News
The company defended its claims of 79 percent efficacy for its coronavirus shot and said it would release more up-to-date trial results within 48 hours.,https://www.nytimes.com/2021/03/23/world/europe/us-covid-astrazeneca-vaccine.html,The company defended its claims of 79 percent efficacy for its coronavirus shot and said it would release more up-to-date trial results within 48 hours.,"LONDON — The announcement this week that the AstraZeneca shot, the workhorse of global vaccine rollouts, had achieved nearly 80 percent efficacy in a gold-standard American trial was met with relief by the many countries relying on it.",2021-03-23T15:58:13+0000,News
The survey found big increases over last month in Latinos getting the shot and in unvaccinated people who say they have made an appointment.,https://www.nytimes.com/2021/05/28/health/us-vaccine-rate.html,The survey found big increases over last month in Latinos getting the shot and in unvaccinated people who say they have made an appointment.,A new poll suggests the United States could be on track to vaccinate at least 70 percent of the adult population against Covid-19 by this summer. ,2021-05-28T09:00:30+0000,News
The country is millions of doses behind expectations. Here’s how it could pull ahead.,https://www.nytimes.com/2021/01/05/opinion/vaccine-coronavirus-us.html,The country is millions of doses behind expectations. Here’s how it could pull ahead.,This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,2021-01-05T22:45:03+0000,Op-Ed
Some staff in hospitals and long-term care facilities don’t want to take the Covid-19 vaccine. Their employers are trying to change their minds.,https://www.nytimes.com/2021/01/14/business/covid-vaccine-health-hospitals.html,Some staff in hospitals and long-term care facilities don’t want to take the Covid-19 vaccine. Their employers are trying to change their minds.,"Anxious about taking a new vaccine and scarred by a history of being mistreated, many frontline workers at hospitals and nursing homes are balking at getting inoculated against Covid-19.",2021-01-14T10:00:16+0000,News
"The director, Dr. Rochelle P. Walensky, said there are instances where local authorities might impose more stringent measures to protect the unvaccinated.",https://www.nytimes.com/2021/06/30/world/cdc-mask-guidance.html,"The director, Dr. Rochelle P. Walensky, said there are instances where local authorities might impose more stringent measures to protect the unvaccinated.","The director of the Centers for Disease Control and Prevention on Wednesday stood by advice that people fully vaccinated against the coronavirus do not need to wear masks in most situations, but added that there are instances where local authorities might impose more stringent measures to protect the unvaccinated.",2021-06-30T16:57:55+0000,News
"As President Biden accelerates plans for manufacturing vaccines and several states move to reopen, we check in on the virus.",https://www.nytimes.com/2021/03/04/podcasts/the-daily/coronavirus-vaccines-variants.html,"As President Biden accelerates plans for manufacturing vaccines and several states move to reopen, we check in on the virus.",It’s been almost a year since the World Health Organization declared the coronavirus outbreak a pandemic.,2021-03-04T11:00:05+0000,News
Qualms about the vaccines’ development are not entirely misguided. But we can make amends for past injustice.,https://www.nytimes.com/2021/04/17/opinion/vaccines-abortion-catholics.html,Qualms about the vaccines’ development are not entirely misguided. But we can make amends for past injustice.,"America is rapidly approaching the point where demand, not supply, is the limiting factor of our vaccine rollout. Our job now is hearing out the worries of vaccine-hesitant friends and trying to assuage their concerns. My fellow Catholics are one group in need of assurance.",2021-04-17T15:00:07+0000,Op-Ed
"A large-scale public education campaign, delayed by false starts and investigations, will get off the ground just as the coronavirus vaccine becomes available to high-risk Americans.",https://www.nytimes.com/2020/12/13/us/politics/coronavirus-vaccine-education-campaign.html,"A large-scale public education campaign, delayed by false starts and investigations, will get off the ground just as the coronavirus vaccine becomes available to high-risk Americans.","WASHINGTON — The Trump administration, scrambling to make up for lost time after a halting start, is rushing to roll out a $250 million public education campaign to encourage Americans to take the coronavirus vaccine, which will reach the first patients in the United States this week.",2020-12-13T22:59:01+0000,News
"Many Black and Hispanic Americans mistrust government officials, and instead have turned to physicians they have long known.",https://www.nytimes.com/2020/12/31/health/coronavirus-black-hispanic-vaccination.html,"Many Black and Hispanic Americans mistrust government officials, and instead have turned to physicians they have long known.","Like many Black and rural Americans, Denese Rankin, a 55-year-old retired bookkeeper and receptionist in Castleberry, Ala., did not want the Covid-19 vaccine.",2020-12-31T18:33:33+0000,News
The Biden administration said it would release nearly all available doses later this month.,https://www.nytimes.com/2021/01/08/us/coronavirus-briefing-what-happened-today.html,The Biden administration said it would release nearly all available doses later this month.,"Weeks into the American vaccination effort and the country is terribly behind schedule. Of the roughly 21.5 million doses that have been distributed, only about six million have been injected into the arms of Americans, according to data from the Centers for Disease Control and Prevention.",2021-01-08T23:08:10+0000,News
"President-elect Joseph R. Biden Jr. called the current vaccine rollout a “dismal failure” and vowed to move aggressively to increase availability, improve access and accelerate production of needed supplies.",https://www.nytimes.com/video/us/politics/100000007554306/biden-coronavirus-vaccination-rollout.html,"President-elect Joseph R. Biden Jr. called the current vaccine rollout a “dismal failure” and vowed to move aggressively to increase availability, improve access and accelerate production of needed supplies.","President-elect Joseph R. Biden Jr. called the current vaccine rollout a “dismal failure” and vowed to move aggressively to increase availability, improve access and accelerate production of needed supplies.",2021-01-15T23:39:06+0000,Video
Cases are surging. We need to maximize the number of inoculated frontline workers and students.,https://www.nytimes.com/2021/04/14/opinion/coronavirus-vaccinations-mandate.html,Cases are surging. We need to maximize the number of inoculated frontline workers and students.,"The next coronavirus surge seems to be underway. Maryland, Michigan, Minnesota and Wisconsin are among the states with rising cases, hospitalizations and intensive care occupancy, and hospitalization rates among younger people are increasing nationally. The causes of this pronounced rush of cases — the spread of a more infectious B.1.1.7 variant and lockdown fatigue — are not going away.",2021-04-14T09:00:15+0000,Op-Ed
"“Breakthrough” cases, though quite uncommon, are a sharp reminder that vaccinated people should wear masks while the virus is circulating widely.",https://www.nytimes.com/2021/03/23/health/covid-cases-vaccinated-people.html,"“Breakthrough” cases, though quite uncommon, are a sharp reminder that vaccinated people should wear masks while the virus is circulating widely.","More than two months after he was fully vaccinated against Covid, a doctor in New York woke up with a headache and a dull, heavy feeling of fatigue. A fever and chills soon followed, and his senses of taste and smell began to fade.",2021-03-23T16:00:08+0000,News
"The rate of vaccinations has ramped up about 40 percent, to an average of 2.3 million shots a day as of Friday, up from an average of about 1.7 million shots a day a month ago.",https://www.nytimes.com/2021/03/12/world/covid-vaccine-pace-adults-eligible.html,"The rate of vaccinations has ramped up about 40 percent, to an average of 2.3 million shots a day as of Friday, up from an average of about 1.7 million shots a day a month ago.",President Biden’s call for every adult American to be eligible for a coronavirus vaccine by May 1 comes at a time when doses are being administered at an accelerated pace.,2021-03-12T22:39:31+0000,News
"Data from Idaho, Florida and other states offer a warning on “vaccine deserts.”",https://www.nytimes.com/interactive/2021/03/26/opinion/vaccine-hesitancy-deserts-oases.html,"Data from Idaho, Florida and other states offer a warning on “vaccine deserts.”","Data from Idaho, Florida and other states offer a warning on “vaccine deserts.”",2021-03-26T09:00:03+0000,Interactive Feature
"Older adults have been eligible for Covid-19 vaccines for months, but some still have not gotten a shot, and progress is uneven from state to state.",https://www.nytimes.com/interactive/2021/04/19/us/vaccine-rollout-seniors.html,"Older adults have been eligible for Covid-19 vaccines for months, but some still have not gotten a shot, and progress is uneven from state to state.","Older adults have been eligible for Covid-19 vaccines for months, but some still have not gotten a shot, and progress is uneven from state to state.",2021-04-19T15:45:45+0000,Interactive Feature
"Administrators and young graduate students have been inoculated at leading research hospitals, contrary to state and federal guidelines.",https://www.nytimes.com/2021/01/10/health/coronavirus-hospitals-vaccinations.html,"Administrators and young graduate students have been inoculated at leading research hospitals, contrary to state and federal guidelines.",[Here’s how you can get the coronavirus vaccine in NYC.],2021-01-10T10:00:14+0000,News
"Hawaii, Massachusetts, New Jersey, Oregon, Rhode Island and Vermont were the last states to expand eligibility on Monday. More than 131 million Americans have received at least one shot of a Covid-19 vaccine.",https://www.nytimes.com/2021/04/19/world/adults-eligible-covid-vaccine.html,"Hawaii, Massachusetts, New Jersey, Oregon, Rhode Island and Vermont were the last states to expand eligibility on Monday. More than 131 million Americans have received at least one shot of a Covid-19 vaccine.","All adults in every U.S. state, Washington, D.C., and Puerto Rico are now eligible for a Covid-19 vaccine, meeting the April 19 deadline that President Biden set two weeks ago.",2021-04-19T09:00:25+0000,News
"Some economists and politicians have proposed offering financial incentives, but that risks sending an unintended message.",https://www.nytimes.com/2020/12/14/upshot/covid-vaccine-payment.html,"Some economists and politicians have proposed offering financial incentives, but that risks sending an unintended message.","The approval of the first Covid-19 vaccine in the United States was hailed over the weekend as the beginning of the end of the pandemic. But the road between delivering the first doses and widespread vaccination at rates that will arrest the spread of coronavirus is far from straightforward. Besides the logistical challenges of distributing the vaccine, people must also be willing to take it.  A new survey has found that more than a quarter of Americans are hesistant.",2020-12-14T10:00:09+0000,News
Millions of white evangelical adults in the U.S. do not intend to get vaccinated against Covid-19. Tenets of faith and mistrust of science play a role; so does politics.,https://www.nytimes.com/2021/04/05/us/covid-vaccine-evangelicals.html,Millions of white evangelical adults in the U.S. do not intend to get vaccinated against Covid-19. Tenets of faith and mistrust of science play a role; so does politics.,"Stephanie Nana, an evangelical Christian in Edmond, Okla., refused to get a Covid-19 vaccine because she believed it contained “aborted cell tissue.”",2021-04-05T07:00:09+0000,News
"See how vaccines, distancing measures and the rise of coronavirus variants affect projections for herd immunity and when we might reach it.",https://www.nytimes.com/interactive/2021/02/20/us/us-herd-immunity-covid.html,"See how vaccines, distancing measures and the rise of coronavirus variants affect projections for herd immunity and when we might reach it.","See how vaccines, distancing measures and the rise of coronavirus variants affect projections for herd immunity and when we might reach it.",2021-02-20T10:00:01+0000,Interactive Feature
Researchers pushed back after the C.D.C. director asserted that vaccinated people “do not carry the virus.”,https://www.nytimes.com/2021/04/01/health/coronavirus-vaccine-walensky.html,Researchers pushed back after the C.D.C. director asserted that vaccinated people “do not carry the virus.”,"The Centers for Disease Control and Prevention on Thursday walked back controversial comments made by its director, Dr. Rochelle P. Walensky, suggesting that people who are vaccinated against the coronavirus never become infected or transmit the virus to others.",2021-04-01T23:19:37+0000,News
The United States is mired in a vaccine blame game.,https://www.nytimes.com/2021/01/04/us/coronavirus-briefing-what-happened-today.html,The United States is mired in a vaccine blame game.,"In the week since our last newsletter, U.S. distribution of coronavirus vaccines has descended into turmoil. Now, millions of vaccines could expire before they reach people in need.",2021-01-05T00:23:14+0000,News
Many travelers are wondering why they still can’t visit their neighbor to the north. Here’s why the border remains closed.,https://www.nytimes.com/2021/06/29/travel/us-canada-travel-ban.html,Many travelers are wondering why they still can’t visit their neighbor to the north. Here’s why the border remains closed.,Update: Canada will reopen its border to fully vaccinated United States citizens and permanent residents from Aug. 9. See our guide to exploring multicultural Canada here.,2021-06-29T20:32:35+0000,News
"Jake Sullivan, President Biden’s national security adviser, on Friday said Japan, India, Australia and the United States agreed to work together to distribute vaccines in the Indo-Pacific and address cyberthreats.",https://www.nytimes.com/video/us/politics/100000007651533/quad-meeting-coronavirus-cyber-attacks.html,"Jake Sullivan, President Biden’s national security adviser, on Friday said Japan, India, Australia and the United States agreed to work together to distribute vaccines in the Indo-Pacific and address cyberthreats.","Jake Sullivan, President Biden’s national security adviser, on Friday said Japan, India, Australia and the United States agreed to work together to distribute vaccines in the Indo-Pacific and address cyberthreats.",2021-03-12T20:34:16+0000,Video
Disinformation has pervaded social media and is an assault on our people.,https://www.nytimes.com/2021/02/07/opinion/covid-black-americans.html,Disinformation has pervaded social media and is an assault on our people.,"Our country is facing a public health crisis on a level not experienced for more than 100 years. It should be reasonable to expect that all citizens can rely on their government and health institutions to protect them. But for many Black Americans, trust in the government does not come easily.",2021-02-07T13:00:07+0000,Op-Ed
She's a cancer survivor and she needs protection. ,https://www.nytimes.com/2021/05/19/opinion/vaccines-teens-cancer-covid.html,She's a cancer survivor and she needs protection. ,You and your kids could help protect my 4-year-old daughter’s life.,2021-05-19T20:23:09+0000,Op-Ed
"Companies can require workers entering the workplace to be vaccinated against the coronavirus, according to recent U.S. government guidance.",https://www.nytimes.com/2021/06/09/business/covid-vaccine-employer-rules.html,"Companies can require workers entering the workplace to be vaccinated against the coronavirus, according to recent U.S. government guidance.","As many Americans prepare to head back to the office, companies are hammering out policies on the extent to which they will require, or strongly encourage, employees to be vaccinated against the coronavirus.",2021-06-09T17:33:43+0000,News
"Compared to other wealthy countries, the virus in the U.S. is killing people at much higher rates.",https://www.nytimes.com/2022/02/02/briefing/coronavirus-briefing-omicron-death-toll.html,"Compared to other wealthy countries, the virus in the U.S. is killing people at much higher rates.","In the initial stages of the Omicron surge, American health officials looked at how other countries were withstanding the worst effects of the new variant and were reassured. But as the Omicron wave begins to subside, we’re getting a fuller picture of how the U.S. fared during the latest surge — and the data is sobering.",2022-02-02T22:19:29+0000,News
People are racing to get vaccinated — even those who don’t yet technically qualify. And that’s good news.,https://www.nytimes.com/2021/03/27/style/covid-vaccine-comorbidities.html,People are racing to get vaccinated — even those who don’t yet technically qualify. And that’s good news.,"After Covid-19 vaccines from Pfizer and Moderna were approved for use in late 2020, anecdotes proliferated about rich people finding ways to jump the distribution priority line.",2021-03-27T09:00:11+0000,News
The head of the European Commission said the bloc was working to allow vaccinated visitors from the U.S. this summer. Questions remain about how and when that might happen.,https://www.nytimes.com/2021/04/26/world/europe/eu-vaccinated-tourists-what-know.html,The head of the European Commission said the bloc was working to allow vaccinated visitors from the U.S. this summer. Questions remain about how and when that might happen.,"BRUSSELS — A yearlong ban on all but the most essential travel from the United States to the European Union may be lifted soon, just in time for summer vacation.",2021-04-26T14:46:03+0000,News
Tens of thousands of open appointments at sites across the country are forcing officials to adjust their outreach strategies and zero in on smaller events.,https://www.nytimes.com/2021/04/23/us/some-mass-vaccination-sites-in-us-close-as-demand-begins-to-fall.html,Tens of thousands of open appointments at sites across the country are forcing officials to adjust their outreach strategies and zero in on smaller events.,"Some county health departments that couldn’t keep up with vaccine demand a month ago have now started closing some of their mass vaccination sites for lack of customers, and some counties are declining vaccine shipments.",2021-04-23T10:56:52+0000,News
